,week_begin,week,month,item_id,category_id,price,competitor_min,competitor_delta,on_promo,sales,normalized_sales,price_index,competitor_index,similarity_group
164,2016-08-28,139,32,394852662,4,21.2,21.2,1,FALSE,139.87,0.816204343,0.790107261,1,11
165,2016-09-18,142,32,394852662,4,21.2,21.2,0,FALSE,139.87,0.816204343,0.790107261,1,11
166,2014-03-09,10,2,394852914,1,52.27,52.27,680,FALSE,401.7,1.497235872,1,1,34
167,2014-03-23,12,2,394852914,1,52.27,52.27,666,FALSE,338.71,1.262456466,1,1,33
168,2014-03-30,13,3,394852914,1,52.27,52.27,659,FALSE,269.78,1.005537201,1,1,33
169,2014-05-25,21,4,394852914,1,52.27,52.27,603,FALSE,200.85,0.748617936,1,1,32
170,2014-06-01,22,5,394852914,1,52.27,52.27,596,FALSE,200.85,0.748617936,1,1,32
171,2014-06-08,23,5,394852914,1,52.27,52.27,589,FALSE,269.78,1.005537201,1,1,33
172,2014-06-22,25,5,394852914,1,52.27,52.27,575,FALSE,223.83,0.834270115,1,1,33
173,2014-06-29,26,6,394852914,1,52.27,52.27,568,FALSE,223.83,0.834270115,1,1,33
174,2014-07-06,27,6,394852914,1,52.27,52.27,561,FALSE,223.83,0.834270115,1,1,33
175,2014-07-13,28,6,394852914,1,52.27,52.27,554,FALSE,378.73,1.411620966,1,1,34
176,2014-08-03,31,7,394852914,1,52.27,52.27,533,FALSE,493.6,1.839770044,1,1,34
177,2014-08-17,33,7,394852914,1,52.27,52.27,519,FALSE,177.87,0.662965757,1,1,32
178,2014-08-31,35,8,394852914,1,52.27,52.27,505,FALSE,177.87,0.662965757,1,1,32
179,2014-10-05,40,9,394852914,1,52.27,52.27,470,FALSE,355.74,1.325931514,1,1,34
180,2014-10-12,41,9,394852914,1,52.27,52.27,463,FALSE,177.87,0.662965757,1,1,32
181,2014-10-26,43,9,394852914,1,52.27,52.27,449,FALSE,177.87,0.662965757,1,1,32
182,2014-01-19,3,0,394853005,6,21.41,16.11,729,FALSE,164.1,0.934591681,1.088625617,1.328988206,12
183,2014-02-16,7,1,394853005,6,21.41,16.11,701,FALSE,228.45,1.301081472,1.088625617,1.328988206,13
184,2014-02-23,8,1,394853005,6,21.41,16.11,694,FALSE,139.96,0.797108176,1.088625617,1.328988206,11
185,2014-03-16,11,2,394853005,6,21.41,16.11,673,FALSE,287.97,1.640063172,1.088625617,1.328988206,13
186,2014-03-23,12,2,394853005,6,21.41,16.11,666,FALSE,164.1,0.934591681,1.088625617,1.328988206,12
187,2014-04-06,14,3,394853005,6,21.41,16.11,652,FALSE,139.96,0.797108176,1.088625617,1.328988206,11
188,2014-04-13,15,3,394853005,6,21.41,16.11,645,FALSE,180.19,1.026228367,1.088625617,1.328988206,12
189,2014-05-11,19,4,394853005,6,21.41,16.11,617,FALSE,164.1,0.934591681,1.088625617,1.328988206,12
190,2014-06-08,23,5,394853005,6,21.41,16.11,589,FALSE,148.01,0.842954996,1.088625617,1.328988206,11
191,2014-06-22,25,5,394853005,6,21.41,16.11,575,FALSE,139.96,0.797108176,1.088625617,1.328988206,11
192,2014-08-10,32,7,394853005,6,21.41,16.11,526,FALSE,139.96,0.797108176,1.088625617,1.328988206,11
193,2014-08-17,33,7,394853005,6,21.41,16.11,519,FALSE,180.19,1.026228367,1.088625617,1.328988206,12
194,2014-08-31,35,8,394853005,6,21.41,16.11,505,FALSE,139.96,0.797108176,1.088625617,1.328988206,11
195,2014-09-07,36,8,394853005,6,21.41,16.11,498,FALSE,139.96,0.797108176,1.088625617,1.328988206,11
196,2014-11-30,48,11,394853005,6,21.41,16.11,414,FALSE,252.58,1.438508025,1.088625617,1.328988206,13
197,2014-12-21,51,11,394853005,6,21.41,16.11,393,FALSE,148.01,0.842954996,1.088625617,1.328988206,11
198,2015-02-22,60,13,394853005,6,21.41,16.11,330,FALSE,212.36,1.209444786,1.088625617,1.328988206,13
199,2015-04-05,66,15,394853005,6,21.41,16.11,288,FALSE,204.32,1.16365492,1.088625617,1.328988206,12
200,2015-04-12,67,15,394853005,6,21.41,16.11,281,FALSE,139.96,0.797108176,1.088625617,1.328988206,11
201,2015-04-19,68,15,394853005,6,21.41,16.11,274,FALSE,139.96,0.797108176,1.088625617,1.328988206,11
202,2015-10-11,93,21,394853005,6,16.12,16.11,99,FALSE,225.18,1.282457982,0.819647125,1.000620732,13
203,2015-12-27,104,24,394853005,6,16.12,16.11,22,FALSE,137.41,0.782585271,0.819647125,1.000620732,11
204,2016-01-03,105,24,394853005,6,16.12,16.11,15,FALSE,142.89,0.813795279,0.819647125,1.000620732,11
205,2016-02-21,112,25,394853005,6,16.12,16.11,0,FALSE,170.32,0.97001618,0.819647125,1.000620732,12
206,2016-04-17,120,27,394853005,6,16.12,16.11,0,FALSE,142.89,0.813795279,0.819647125,1.000620732,11
207,2016-07-03,131,30,394853005,6,16.12,16.11,73,FALSE,164.83,0.938749219,0.819647125,1.000620732,12
208,2016-07-17,133,30,394853005,6,16.12,16.11,87,FALSE,148.38,0.845062241,0.819647125,1.000620732,11
209,2016-08-14,137,31,394853005,6,16.12,16.11,0,FALSE,346.13,1.971299322,0.819647125,1.000620732,14
210,2016-08-21,138,31,394853005,6,16.12,16.11,1,FALSE,197.75,1.126237081,0.819647125,1.000620732,12
211,2016-10-02,144,33,394853005,6,16.73,16.72,0,FALSE,137.7,0.784236895,0.850663548,1.000598086,11
212,2014-01-12,2,0,394853569,3,119.04,115.73,736,FALSE,242.47,0.546400309,1,1.028601054,43
213,2014-02-16,7,1,394853569,3,119.04,115.73,701,FALSE,574.13,1.293788136,1,1.028601054,44
214,2014-06-15,24,5,394853569,3,119.04,115.73,582,FALSE,540.22,1.217372767,1,1.028601054,44
215,2014-07-06,27,6,394853569,3,119.04,115.73,561,FALSE,187.2,0.421850694,1,1.028601054,42
216,2014-08-03,31,7,394853569,3,119.04,115.73,533,FALSE,1237.44,2.788541255,1,1.028601054,44
217,2014-09-14,37,8,394853569,3,119.04,115.73,491,FALSE,187.2,0.421850694,1,1.028601054,42
218,2014-09-28,39,9,394853569,3,119.04,115.73,477,FALSE,374.4,0.843701388,1,1.028601054,44
219,2014-10-05,40,9,394853569,3,119.04,115.73,470,FALSE,242.47,0.546400309,1,1.028601054,43
220,2014-10-12,41,9,394853569,3,119.04,115.73,463,FALSE,408.3,0.920094222,1,1.028601054,44
221,2014-02-16,7,1,394854842,4,33.1,33.1,701,FALSE,282.64,1.265929939,1,1,23
222,2014-08-17,33,7,394854842,4,33.1,33.1,519,FALSE,186.73,0.836354011,1,1,22
223,2014-08-24,34,7,394854842,4,33.1,33.1,512,FALSE,200.43,0.897715602,1,1,22
224,2014-01-12,2,0,394857109,1,19.17,19.17,2100,FALSE,145.84,0.752892394,1,1,11
225,2014-06-01,22,5,394857109,1,19.17,19.17,2100,FALSE,159.77,0.824805388,1,1,11
226,2014-06-29,26,6,394857109,1,19.17,19.17,2100,FALSE,145.84,0.752892394,1,1,11
227,2015-05-10,71,16,394857109,1,19.17,19.17,2100,FALSE,480.01,2.478029883,1,1,14
228,2015-07-19,81,18,394857109,1,19.17,19.17,2100,FALSE,138.88,0.71696171,1,1,11
229,2015-11-08,97,22,394857109,1,19.17,19.17,2100,FALSE,159.77,0.824805388,1,1,11
230,2015-11-29,100,23,394857109,1,19.17,19.17,2100,FALSE,166.73,0.860736073,1,1,12
